salary,job_url,job_enterprise,date,job_place,job_name
6000-7999/月,http://jobs.51job.com/shenzhen-nsq/77922354.html?s=0,招银云创（深圳）信息技术有限公司,11-08,深圳-南山区,数据分析师（数据挖掘）
Null,http://jobs.51job.com/shanghai/75874856.html?s=0,北京金美仕贸易有限公司,11-08,上海,数据挖掘工程师
30-40万/年,http://jobs.51job.com/shanghai-xhq/80056919.html?s=0,上海肯耐珂萨人才服务股份有限公司,11-08,上海-徐汇区,数据挖掘/数据建模岗（五大国行之一）
10000-20000/月,http://jobs.51job.com/hangzhou-gsq/82370823.html?s=0,杭州启冠网络技术有限公司,11-08,杭州-拱墅区,数据挖掘
10000-20000/月,http://jobs.51job.com/shanghai/78345266.html?s=0,上海乾生乾金融信息服务有限公司,11-08,上海,数据挖掘
Null,http://jobs.51job.com/huizhou/77848376.html?s=0,惠州酷友网络科技有限公司,11-08,惠州,数据挖掘工程师
10000-14999/月,http://jobs.51job.com/beijing/65535094.html?s=0,北京中恒博瑞数字电力科技有限公司,11-08,北京,大数据挖掘工程师
8000-18000/月,http://jobs.51job.com/guangzhou/75307041.html?s=0,广州银讯信息科技有限公司,11-08,广州,Hadoop数据挖掘工程师
400000+ /年,http://jobs.51job.com/shanghai/75383892.html?s=0,北京外企德科人力资源服务上海有限公司,11-08,上海,数据挖掘岗
20000-24999/月,http://jobs.51job.com/shenzhen/79917771.html?s=0,深圳市人人聚财金融信息服务有限公司,11-08,深圳,数据挖掘工程师-互联网平台事业部-技术部
10000-20000/月,http://jobs.51job.com/shenzhen-nsq/79518789.html?s=0,深圳华海乐盈网络科技有限公司,11-08,深圳-南山区,数据挖掘工程师
15000-19999/月,http://jobs.51job.com/beijing-xcq/82912199.html?s=0,北京通付盾数据科技有限公司,11-08,北京-西城区,数据挖掘
10000-14999/月,http://jobs.51job.com/shanghai-mhq/72986064.html?s=0,上海唯都市场营销策划股份有限公司,11-08,上海-闵行区,数据挖掘工程师
15000-19999/月,http://jobs.51job.com/beijing/82963170.html?s=0,中国金融在线有限公司,11-08,北京,数据挖掘工程师
8000-14000/月,http://jobs.51job.com/hefei/79550675.html?s=0,北京合力亿捷科技股份有限公司,11-08,合肥,数据挖掘工程师（开发工程师）（安徽合肥）-数据软件
15000-19999/月,http://jobs.51job.com/shanghai-xhq/82785367.html?s=0,上海点客信息技术股份有限公司,11-08,上海-徐汇区,数据挖掘经理
20000-24999/月,http://jobs.51job.com/beijing-hdq/79490866.html?s=0,博易智软（北京）技术股份有限公司,11-08,北京-海淀区,数据分析师/数据挖掘工程师
25000-29999/月,http://jobs.51job.com/shanghai-zbq/77863457.html?s=0,上海克而瑞软件技术有限公司,11-08,上海-闸北区,数据挖掘工程师
15000-19999/月,http://jobs.51job.com/hangzhou/75971324.html?s=0,浙江执御信息技术有限公司,11-08,杭州,数据挖掘工程师（电商标签挖掘方向）
20-30万/年,http://jobs.51job.com/shanghai-pdxq/75991893.html?s=0,万得信息技术股份有限公司（Wind资讯）,11-08,上海-浦东新区,"高级JAVA工程师( 大数据,数据挖掘)"
25000-29999/月,http://jobs.51job.com/shanghai-pdxq/82620164.html?s=0,上海你我贷互联网金融信息服务有限公司,11-08,上海-浦东新区,数据挖掘工程师
10000-18000/月,http://jobs.51job.com/guangzhou-thq/75782544.html?s=0,PPmoney互联网金融平台,11-08,广州-天河区,数据挖掘工程师
10000-15000/月,http://jobs.51job.com/guangzhou/81855558.html?s=0,广州百倍网络科技有限公司,11-08,广州,数据挖掘
10000-20000/月,http://jobs.51job.com/nanjing-glq/65262392.html?s=0,车300,11-08,南京-鼓楼区,数据分析师/数据挖掘工程师
8000-9999/月,http://jobs.51job.com/beijing/72644844.html?s=0,北京优朋普乐科技有限公司,11-08,北京,软件开发工程师（数据挖掘）实习生-2017届毕业生
80000-150000/年,http://jobs.51job.com/beijing-cyq/73897967.html?s=0,北京经世万方信息技术有限公司,11-08,北京-朝阳区,数据库及数据挖掘工程师
20000-24999/月,http://jobs.51job.com/beijing-dxq/79981995.html?s=0,中律科技股份有限公司,11-08,北京-大兴区,NLP工程师/数据挖掘/机器学习算法
15000-19999/月,http://jobs.51job.com/shenzhen-ftq/73298540.html?s=0,深圳市金立通信设备有限公司,11-08,深圳-福田区,数据挖掘工程师
10000-14999/月,http://jobs.51job.com/nanjing/78562086.html?s=0,浪潮通信信息系统有限公司,11-08,南京,数据挖掘/分析工程师
6000-7999/月,http://jobs.51job.com/beijing-hdq/68297019.html?s=0,华宇金信（北京）软件有限公司,11-08,北京-海淀区,JAVA开发工程师（数据挖掘方向）
15000-19999/月,http://jobs.51job.com/beijing/75768854.html?s=0,易拍全球（北京）科贸有限公司,11-08,北京,数据挖掘工程师-语义分析方向
10000-14999/月,http://jobs.51job.com/shanghai-cnq/72301321.html?s=0,携程旅行网IT技术区,11-08,上海-长宁区,高级数据挖掘工程师
8000-16000/月,http://jobs.51job.com/beijing-hdq/81284766.html?s=0,北京北大方正电子有限公司,11-08,北京-海淀区,数据挖掘工程师(001052)
10000-14999/月,http://jobs.51job.com/shenzhen/75144443.html?s=0,深圳市海云天科技股份有限公司,11-08,深圳,大数据挖掘工程师
4500-5999/月,http://jobs.51job.com/beijing-xcq/82676455.html?s=0,渤海证券股份有限公司,11-08,北京-西城区,2017校园招聘——网络数据挖掘与机器学习
10000-14999/月,http://jobs.51job.com/hangzhou/82509213.html?s=0,浙江胄天科技股份有限公司,11-08,杭州,数据挖掘工程师
8000-9999/月,http://jobs.51job.com/hangzhou-jgq/82961603.html?s=0,杭州健培科技有限公司,11-08,杭州-江干区,数据挖掘
10000-14999/月,http://jobs.51job.com/hefei/80547097.html?s=0,合肥寰景信息技术有限公司,11-08,合肥,数据挖掘工程师
15000-19999/月,http://jobs.51job.com/nanjing/81447983.html?s=0,付融宝（软银中国及上市公司投资平台）,11-08,南京,数据挖掘工程师（付融宝）
13000-20000/月,http://jobs.51job.com/beijing-hdq/78200961.html?s=0,北京微宝网络科技有限公司,11-08,北京-海淀区,数据挖掘/算法工程师（Hadoop）
20000-30000/月,http://jobs.51job.com/shanghai/76249367.html?s=0,大众点评网,11-08,上海,数据挖掘算法工程师（广告平台）
15000-19999/月,http://jobs.51job.com/guangzhou/76109776.html?s=0,广州市网迅信息技术有限公司,11-08,广州,数据挖掘工程师
15000-19999/月,http://jobs.51job.com/jiangsusheng/80960532.html?s=0,江苏中地控股集团有限公司,11-08,异地招聘,数据挖掘工程师（付融宝）
10000-14999/月,http://jobs.51job.com/shanghai-xhq/79248042.html?s=0,深圳市华成峰科技有限公司,11-08,上海-徐汇区,数据挖掘销售经理
10000-14999/月,http://jobs.51job.com/shanghai-pdxq/83052160.html?s=0,上海二三四五海隆金融信息服务有限公司,11-08,上海-浦东新区,高级数据建模工程师（数据挖掘）
8000-16000/月,http://jobs.51job.com/beijing/77011270.html?s=0,东方金诚国际信用评估有限公司,11-08,北京,数据挖掘工程师（10590）
2000-2999/月,http://jobs.51job.com/hangzhou/78978636.html?s=0,广州佰聆数据股份有限公司,11-08,杭州,数据挖掘分析助理
9000-15000/月,http://jobs.51job.com/dongguan-ncq/82867798.html?s=0,团贷网,11-08,东莞-南城区,数据挖掘工程师
